ProductID,ProductName,Category,Price
1,Product_1,Monitor,11205.65
2,Product_2,Headphones,12165.72
3,Product_3,Headphones,4591.17
4,Product_4,Monitor,7669.52
5,Product_5,Headphones,6017.33
7,Product_7,Laptop,11415.73
8,Product_8,Laptop,12231.66
9,Product_9,Mouse,18957.04
10,Product_10,Keyboard,12547.75
11,Product_11,Mouse,13242.52
12,Product_12,Headphones,4873.32
13,Product_13,Laptop,1593.79
14,Product_14,Headphones,8229.5
15,Product_15,Laptop,9451.26
17,Product_17,Monitor,14089.45
18,Product_18,Mouse,1516.48
19,Product_19,Headphones,18485.83
20,Product_20,Mouse,13257.54
21,Product_21,Headphones,8560.27
22,Product_22,Mouse,4573.71
23,Product_23,Mouse,18177.39
24,Product_24,Mouse,1521.06
25,Product_25,Headphones,15873.31
26,Product_26,Headphones,15004.26
27,Product_27,Monitor,18431.73
28,Product_28,Keyboard,2574.64
29,Product_29,Keyboard,14024.7
30,Product_30,Monitor,10059.4
31,Product_31,Headphones,8811.4
32,Product_32,Monitor,893.23
33,Product_33,Headphones,14717.23
34,Product_34,Laptop,5082.32
35,Product_35,Headphones,4655.6
36,Product_36,Laptop,11783.75
37,Product_37,Keyboard,19991.49
38,Product_38,Mouse,11567.31
39,Product_39,Monitor,9462.97
40,Product_40,Mouse,18329.85
41,Product_41,Monitor,19939.21
42,Product_42,Monitor,12732.22
43,Product_43,Monitor,19384.2
44,Product_44,Keyboard,7024.43
45,Product_45,Laptop,6489.06
46,Product_46,Keyboard,17168.89
47,Product_47,Monitor,8291.74
48,Product_48,Monitor,5835.53
49,Product_49,Headphones,16289.96
50,Product_50,Laptop,830.27
51,Product_51,Keyboard,6358.89
52,Product_52,Monitor,2406.84
53,Product_53,Laptop,17311.72
54,Product_54,Headphones,13187.44
55,Product_55,Laptop,9293.33
56,Product_56,Keyboard,3832.89
57,Product_57,Monitor,12490.41
58,Product_58,Laptop,12545.63
59,Product_59,Headphones,4150.81
60,Product_60,Keyboard,2707.16
61,Product_61,Monitor,8818.51
62,Product_62,Headphones,2516.38
63,Product_63,Mouse,16006.34
64,Product_64,Laptop,6283.93
65,Product_65,Laptop,11089.8
66,Product_66,Laptop,4571.54
67,Product_67,Laptop,9282.81
68,Product_68,Mouse,12989.42
69,Product_69,Keyboard,10017.67
70,Product_70,Keyboard,10226.55
71,Product_71,Monitor,8368.26
72,Product_72,Mouse,19606.87
73,Product_73,Mouse,9190.05
74,Product_74,Headphones,7733.36
75,Product_75,Mouse,10213.99
76,Product_76,Keyboard,17294.14
77,Product_77,Monitor,15476.24
78,Product_78,Headphones,6863.52
79,Product_79,Laptop,5416.74
80,Product_80,Keyboard,5728.5
81,Product_81,Headphones,16765.77
82,Product_82,Monitor,19978.16
83,Product_83,Monitor,17318.69
84,Product_84,Keyboard,10817.75
85,Product_85,Headphones,6715.56
86,Product_86,Keyboard,7606.48
87,Product_87,Mouse,17405.07
88,Product_88,Mouse,11478.77
89,Product_89,Monitor,17134.66
90,Product_90,Monitor,968.58
91,Product_91,Monitor,14134.03
92,Product_92,Mouse,7782.97
93,Product_93,Laptop,9957.04
94,Product_94,Headphones,2612.3
95,Product_95,Laptop,6706.69
96,Product_96,Monitor,17496.39
97,Product_97,Monitor,2084.26
98,Product_98,Mouse,405.42
99,Product_99,Mouse,8258.57
100,Product_100,Keyboard,1589.08
